# id                RA                Dec                z      
  WFI_1227-11_17690 187.0727481685753 -11.54480666032246 0.70492
  WFI_1227-11_18001 187.0781879137525 -11.53614083509729 0.8278 
  WFI_1227-11_18056 187.0571100731186 -11.53514270740974 0.71209
  WFI_1227-11_18241 187.0722467917571 -11.53041746138867 0.5768 
  WFI_1227-11_18609 187.0527255791512 -11.52206000256246 0.01603
  WFI_1227-11_18691 187.0892995696738 -11.5199639961685  0.33888
  WFI_1227-11_19081 187.0780595858659 -11.51116163563628 0.4431 
  WFI_1227-11_17775 187.0738484968594 -11.54178093415147 0.65177
  WFI_1227-11_18286 187.0858412688269 -11.52902271521228 0.63205
  WFI_1227-11_17845 187.0635588659619 -11.54088591162926 0.59595
  WFI_1227-11_17993 187.0595719635433 -11.53807245827967 0.33871
  WFI_1227-11_18109 187.0784676259741 -11.53515169276988 0.33726
  WFI_1227-11_18177 187.0563477396575 -11.53150447424108 0.51118
  WFI_1227-11_18269 187.0855139629227 -11.53089597255281 0.48085
  WFI_1227-11_18280 187.0621250209662 -11.52966062510405 0.64078
  WFI_1227-11_18391 187.0903316151404 -11.52761542118967 0.50851
  WFI_1227-11_18410 187.0804364560432 -11.52755951139497 0.52861
  WFI_1227-11_18465 187.065841725806  -11.52571256976582 0.69931
  WFI_1227-11_18499 187.0602312730886 -11.52627066506438 0.61851
  WFI_1227-11_18563 187.084261450723  -11.52479378077435 0.51596
  WFI_1227-11_18725 187.0682208674781 -11.51927551304511 0.62276
  WFI_1227-11_18758 187.0578179482575 -11.51831977385802 0.49095
  WFI_1227-11_19045 187.0661308970898 -11.51234040989309 0.29605
