# id                RA                Dec                z      
  WFI_1227-11_14806 186.9999482939491 -11.61473237829915 0.54662
  WFI_1227-11_14826 186.9719732951018 -11.61479274636033 0.65985
  WFI_1227-11_14840 186.9907120725834 -11.61596016721514 0.55021
  WFI_1227-11_15087 186.9953447577212 -11.60892228836316 0.54742
  WFI_1227-11_15141 186.9595860368938 -11.6082131580055  0.42323
  WFI_1227-11_15838 186.9898779067064 -11.58967714539529 1.20075
  WFI_1227-11_16043 186.9822249562778 -11.58435577333111 0.06423
  WFI_1227-11_14900 186.9601849524427 -11.61304087737453 0.68231
  WFI_1227-11_15029 186.9581078357633 -11.60987129277013 0.67183
  WFI_1227-11_15962 186.9905590119422 -11.58588248073377 1.03389
  WFI_1227-11_14813 186.9859799025197 -11.61509119285024 0.63699
  WFI_1227-11_14986 186.9600568009363 -11.61606371583512 0.23853
  WFI_1227-11_15018 186.9869110944294 -11.61190380357935 0.53351
  WFI_1227-11_15066 186.9710224188566 -11.60917519809185 0.54664
  WFI_1227-11_15115 186.9845346539232 -11.60955340356126 0.15933
  WFI_1227-11_15119 187.0016055881244 -11.60767642400684 0.35612
  WFI_1227-11_15220 186.9793811680712 -11.60556206209133 0.62386
  WFI_1227-11_15262 186.9941547222973 -11.60390055302854 0.32874
  WFI_1227-11_15381 186.9599633875366 -11.60138664837233 0.1173 
  WFI_1227-11_15453 186.9793904907732 -11.59967759189679 0.6241 
  WFI_1227-11_15736 186.9686264204275 -11.59279485286444 0.73734
  WFI_1227-11_15806 186.9789514719615 -11.59121072982833 0.36172
  WFI_1227-11_15857 186.9597812866836 -11.58968749645925 0.57465
  WFI_1227-11_15937 186.9681934998567 -11.5877836335056  0.54274
  WFI_1227-11_16074 186.9650669758952 -11.58629877115633 0.13708
