# id                RA                Dec                z      
  WFI_1301-11_19460 195.3783130831843 -11.63958769725695 0.76127
  WFI_1301-11_19812 195.3748021963552 -11.63422026263943 0.49372
  WFI_1301-11_20149 195.3942338324728 -11.62806652967022 0.39441
  WFI_1301-11_20381 195.3861981828479 -11.62389532882756 0.39723
  WFI_1301-11_20417 195.3628516115984 -11.62396403911716 0.50423
  WFI_1301-11_20440 195.3619166222352 -11.62344296186107 0.98513
  WFI_1301-11_20901 195.3789109562155 -11.61491841313871 0.46433
  WFI_1301-11_21334 195.3915540536932 -11.60964866492403 0.05595
  WFI_1301-11_21478 195.3661250121921 -11.60703230149233 1.02013
  WFI_1301-11_19402 195.3959605419763 -11.64124316700047 0.39005
  WFI_1301-11_19544 195.3682711611402 -11.63835566782372 1.02694
  WFI_1301-11_19646 195.3925091310367 -11.63752895699185 0.3491 
  WFI_1301-11_19776 195.3826467572221 -11.6369732659948  0.3632 
  WFI_1301-11_19781 195.3899790060098 -11.63528890531742 0.47991
  WFI_1301-11_19855 195.3628403409643 -11.63414410227179 0.37892
  WFI_1301-11_19903 195.3783053739901 -11.63442336543288 0.34885
  WFI_1301-11_19982 195.3939535678281 -11.63210237367432 0.35703
  WFI_1301-11_20154 195.3693558603191 -11.63110264428848 0.4945 
  WFI_1301-11_20168 195.3860217322321 -11.62923640665631 0.4888 
  WFI_1301-11_20258 195.3691670961929 -11.62663616268231 0.18784
  WFI_1301-11_20328 195.3860970250896 -11.62583390059182 0.46879
  WFI_1301-11_20720 195.3829040077468 -11.62013868148159 0.50065
  WFI_1301-11_20775 195.373534260861  -11.62110033415823 0.14232
  WFI_1301-11_20799 195.3780474033446 -11.6190551847247  0.39462
  WFI_1301-11_21179 195.3875924396561 -11.611888702605   0.53643
