# id                RA                Dec                z      
  WFI_1301-11_25198 195.3646564227119 -11.54315078935689 0.34305
  WFI_1301-11_25705 195.3320614495441 -11.5348316183253  0.25625
  WFI_1301-11_26571 195.3449493709707 -11.52161625548695 0.40176
  WFI_1301-11_24004 195.3418363177564 -11.56286739836962 0.39129
  WFI_1301-11_24347 195.3502247502382 -11.55867607375561 0.46476
  WFI_1301-11_24375 195.3510183196004 -11.56100780288518 0.42493
  WFI_1301-11_24612 195.3551631215    -11.55323378184602 0.78324
  WFI_1301-11_24718 195.3303117279935 -11.55343795388771 0.38766
  WFI_1301-11_24797 195.3279464159686 -11.55023472390889 0.40938
  WFI_1301-11_24865 195.330387141502  -11.54904714585673 0.41044
  WFI_1301-11_24980 195.3584854504076 -11.54763285437138 0.49985
  WFI_1301-11_25026 195.3592134623562 -11.54635435037578 0.98949
  WFI_1301-11_25200 195.3524132778782 -11.54356637048061 0.48711
  WFI_1301-11_25255 195.3309720938543 -11.54395158060214 0.49534
  WFI_1301-11_25289 195.3358685085524 -11.54140444473349 0.56457
  WFI_1301-11_25405 195.3467910984982 -11.54003436517837 0.38203
  WFI_1301-11_25536 195.3621309789018 -11.53840926200747 0.11005
  WFI_1301-11_25672 195.3502830728272 -11.53718601297324 0.47625
  WFI_1301-11_25711 195.3499118594653 -11.53495116026014 0.51354
  WFI_1301-11_25913 195.3403915724126 -11.5316157489675  0.813  
  WFI_1301-11_26027 195.3486471793008 -11.52941141183346 0.48644
  WFI_1301-11_26071 195.3385641792061 -11.53047273497684 0.48524
  WFI_1301-11_26775 195.3501856104769 -11.51821455933836 1.20759
  WFI_1301-11_26809 195.3500378297643 -11.52083133378834 0.48466
