# id                RA                Dec                z      
  WFI_1227-11_12089 186.9643083268696 -11.68038953511134 0.16126
  WFI_1227-11_12389 186.9763853177137 -11.67306162368159 0.30509
  WFI_1227-11_13521 186.970000942352  -11.6458526633913  0.60363
  WFI_1227-11_13801 186.9607002472425 -11.63892885052372 0.6157 
  WFI_1227-11_12764 186.9553276513751 -11.66469178685269 0.81491
  WFI_1227-11_12829 186.9731172033557 -11.66417672781447 0.71999
  WFI_1227-11_12890 186.9621379394702 -11.66116392358516 0.34704
  WFI_1227-11_12997 186.9775851830961 -11.65895802489716 1.15706
  WFI_1227-11_13039 186.9454255099997 -11.66119149998249 0.17027
  WFI_1227-11_13236 186.9680130013002 -11.65312547006908 1.14154
  WFI_1227-11_13722 186.9708773288722 -11.6411600310808  0.63284
  WFI_1227-11_14029 186.9588055535584 -11.63435619035398 0.61812
  WFI_1227-11_12314 186.9744907910068 -11.67520905217689 0.84041
  WFI_1227-11_12315 186.9595985305361 -11.67502868981688 0.5838 
  WFI_1227-11_12518 186.9563876216467 -11.66941943983057 0.60773
  WFI_1227-11_12561 186.9755765066762 -11.66864998586268 1.20701
  WFI_1227-11_12722 186.9671040492648 -11.66644704079638 0.5799 
  WFI_1227-11_12796 186.9822139970913 -11.66558057486035 0.49503
  WFI_1227-11_12833 186.9635154695774 -11.66288147243965 0.84167
  WFI_1227-11_13030 186.9520685691697 -11.65813405998361 0.34669
  WFI_1227-11_13122 186.9769537787073 -11.66078573686717 0.33891
  WFI_1227-11_13131 186.9695753141878 -11.65618463538672 0.8422 
  WFI_1227-11_13215 186.9862424148995 -11.65516904280353 0.33983
  WFI_1227-11_13221 186.9731040970757 -11.65393100132549 0.32142
  WFI_1227-11_13288 186.9486394927842 -11.65295521562877 0.34345
  WFI_1227-11_13333 186.9436455222362 -11.65484568287396 0.4806 
  WFI_1227-11_13457 186.9590489830095 -11.64734277812857 0.52157
  WFI_1227-11_13544 186.9638223470603 -11.64494207426189 0.52042
  WFI_1227-11_14151 186.9622611015718 -11.63225410955235 0.52315
