# id                RA                Dec                z      
  WFI_1138-11_15502 174.7175464093015 -11.57719032539914 0.82674
  WFI_1138-11_16225 174.6916270439983 -11.56408740033212 0.44666
  WFI_1138-11_14993 174.7032579760311 -11.58746479597953 0.96373
  WFI_1138-11_15109 174.7027304094736 -11.58489780713454 0.8033 
  WFI_1138-11_15122 174.687222455671  -11.58494849846164 0.483  
  WFI_1138-11_15230 174.707162982976  -11.58276122059607 0.34028
  WFI_1138-11_15350 174.7016417356878 -11.58112866518024 0.48621
  WFI_1138-11_15443 174.7156845054185 -11.57941065532033 0.56992
  WFI_1138-11_15520 174.7029698776985 -11.5770085969058  0.61208
  WFI_1138-11_15808 174.7116563323383 -11.57042874817552 0.49655
  WFI_1138-11_16176 174.6916873561998 -11.56334980595469 0.44678
  WFI_1138-11_16273 174.7104737348457 -11.56165903641763 0.49109
  WFI_1138-11_16282 174.7082258570091 -11.56279235617495 0.34853
  WFI_1138-11_16476 174.7056272655296 -11.55877941964143 0.27873
