# id                RA                Dec                z      
  WFI_1138-11_23604 174.4009806537112 -11.40849841988215 0.47199
  WFI_1138-11_22018 174.3845888928229 -11.44097894767629 0.39384
  WFI_1138-11_22245 174.3778082558498 -11.43738872816821 0.45371
  WFI_1138-11_22259 174.383415484627  -11.43511806466733 0.70254
  WFI_1138-11_22331 174.3688063355091 -11.43440485512839 0.45448
  WFI_1138-11_22390 174.4087275843418 -11.43550105553438 0.61789
  WFI_1138-11_22435 174.4089518376258 -11.43195057911073 0.56422
  WFI_1138-11_22478 174.3686132537618 -11.43083445262341 0.34907
  WFI_1138-11_22483 174.3943988044506 -11.43217416301534 0.37295
  WFI_1138-11_22754 174.3997543495842 -11.42725567823221 0.46563
  WFI_1138-11_22819 174.3986423343198 -11.42453500489755 0.57338
  WFI_1138-11_22953 174.403010883227  -11.42134310685334 0.72895
  WFI_1138-11_23033 174.3750513841404 -11.42358478199795 0.3326 
  WFI_1138-11_23205 174.4063760138494 -11.41694998339784 0.7106 
  WFI_1138-11_23415 174.4047738387916 -11.41268731927825 0.4772 
  WFI_1138-11_23589 174.3785797343245 -11.40934504976234 0.4277 
  WFI_1138-11_23717 174.3907737404297 -11.41091284720378 0.35185
  WFI_1138-11_23758 174.3691857614099 -11.40906907977814 0.3559 
  WFI_1138-11_23947 174.4056771925626 -11.40551979557691 0.16804
