# id                RA                Dec                z      
  WFI_1138-11_15622 174.5651829679341 -11.57457962389695 0.42429
  WFI_1138-11_15191 174.5463813206894 -11.58431199586748 0.46311
  WFI_1138-11_15243 174.5660054180683 -11.58279963927245 0.45348
  WFI_1138-11_15367 174.5521471582838 -11.58001103804357 0.1513 
  WFI_1138-11_15404 174.5551997245005 -11.57994213637377 0.117  
  WFI_1138-11_15777 174.5452606704247 -11.57156652548328 0.46473
  WFI_1138-11_15823 174.5640740432615 -11.57267151102798 0.48432
  WFI_1138-11_15831 174.5449951005226 -11.57055303151572 0.47017
  WFI_1138-11_15953 174.5451899385068 -11.56813561190168 0.48861
  WFI_1138-11_16020 174.543374939641  -11.56702898742442 0.07542
  WFI_1138-11_16101 174.5587158702087 -11.57103272108739 0.484  
  WFI_1138-11_16220 174.5603820024893 -11.56275319987106 0.47739
  WFI_1138-11_16230 174.5560106547738 -11.5639277857551  0.46874
  WFI_1138-11_16261 174.5458501731744 -11.56157358860748 0.4717 
  WFI_1138-11_16391 174.5434635933634 -11.55900350292696 0.48794
  WFI_1138-11_16483 174.5573543068139 -11.55662693158154 0.48943
  WFI_1138-11_16722 174.5652563772696 -11.55138210169054 0.4736 
